obsHistID expMJD
1412276 61656.241517
1412277 61656.241933
1412278 61656.24235
1412279 61656.242767
1412280 61656.243183
1412281 61656.2436
1412282 61656.244017
1412283 61656.244433
1412284 61656.24485
1412285 61656.245267
1412286 61656.245683
1412287 61656.2461
1412288 61656.246517
1412289 61656.246933
1412290 61656.24735
1412291 61656.247767
1412292 61656.248183
1412293 61656.2486
1412294 61656.249017
1414017 61672.379378
1414018 61672.379795
1414019 61672.380212
1414020 61672.380628
1414021 61672.381045
1414022 61672.381462
1414023 61672.381878
1414024 61672.382295
1414025 61672.382712
1414026 61672.383128
1414027 61672.383545
1414028 61672.383962
1414029 61672.384378
1414030 61672.384795
1414031 61672.385212
1414032 61672.385628
1414033 61672.386045
1414034 61672.386462
1414035 61672.386878
1422643 61685.222029
1422644 61685.222445
1422645 61685.222862
1422646 61685.223279
1422647 61685.223695
1422648 61685.224112
1422649 61685.224529
1422650 61685.224945
1422651 61685.225362
1422652 61685.225779
1422653 61685.226195
1422654 61685.226612
1422655 61685.227029
1422656 61685.227445
1422657 61685.227862
1422658 61685.228279
1422659 61685.228695
1422660 61685.229112
1422661 61685.229529
1425058 61688.170821
1425059 61688.171238
1425060 61688.171654
1425061 61688.172071
1425062 61688.172488
1425063 61688.172904
1425064 61688.173321
1425065 61688.173738
1425066 61688.174154
1425067 61688.174571
1425068 61688.174988
1425069 61688.175404
1425070 61688.175821
1425071 61688.176238
1425072 61688.176654
1425073 61688.177071
1425074 61688.177488
1425075 61688.177904
1425076 61688.178321
1425077 61688.178738
1427603 61691.301882
1427604 61691.302298
1427605 61691.302715
1427606 61691.303132
1427607 61691.303548
1427608 61691.303965
1427609 61691.304382
1427610 61691.304798
1427611 61691.305215
1427612 61691.305632
1427613 61691.306048
1427614 61691.306465
1427615 61691.306882
1427616 61691.307298
1427617 61691.307715
1427618 61691.308132
1427619 61691.308548
1427620 61691.308965
1427621 61691.309382
1427622 61691.309798
1433124 61698.156665
1433125 61698.157082
1433126 61698.157498
1433127 61698.157915
1433128 61698.158332
1433129 61698.158748
1433130 61698.159165
1433131 61698.159582
1433132 61698.159998
1433133 61698.160415
1433134 61698.160832
1433135 61698.161248
1433136 61698.161665
1433137 61698.162082
1433138 61698.162498
1433139 61698.162915
1433140 61698.163332
1433141 61698.163748
1433142 61698.164165
1433143 61698.164582
1434673 61701.134851
1434674 61701.135267
1434675 61701.135684
1434676 61701.136101
1434677 61701.136517
1434678 61701.136934
1434679 61701.137351
1434680 61701.137767
1434681 61701.138184
1434682 61701.138601
1434683 61701.139017
1434684 61701.139434
1434685 61701.139851
1434686 61701.140267
1434687 61701.140684
1434688 61701.141101
1434689 61701.141517
1434690 61701.141934
1434691 61701.142351
1434692 61701.142767
1436057 61704.161817
1436058 61704.162234
1436059 61704.16265
1436060 61704.163067
1436061 61704.163484
1436062 61704.1639
1436063 61704.164317
1436064 61704.164734
1436065 61704.16515
1436066 61704.165567
1436067 61704.165984
1436068 61704.1664
1436069 61704.166817
1436070 61704.167234
1436071 61704.16765
1436072 61704.168067
1436073 61704.168484
1436074 61704.1689
1436075 61704.169317
1436076 61704.169734
1446148 61725.090151
1446149 61725.090568
1446150 61725.090984
1446151 61725.091401
1446152 61725.091818
1446153 61725.092234
1446154 61725.092651
1446155 61725.093068
1446156 61725.093484
1446157 61725.093901
1446158 61725.094318
1446159 61725.094734
1446160 61725.095151
1446161 61725.095568
1446162 61725.095984
1446163 61725.096401
1446164 61725.096818
1446165 61725.097234
1446166 61725.097651
1446167 61725.098068
1448348 61728.087979
1448349 61728.088396
1448350 61728.088813
1448351 61728.089229
1448352 61728.089646
1448353 61728.090063
1448354 61728.090479
1448355 61728.090896
1448356 61728.091313
1448357 61728.091729
1448358 61728.092146
1448359 61728.092563
1448360 61728.092979
1448361 61728.093396
1448362 61728.093813
1448363 61728.094229
1448364 61728.094646
1448365 61728.095063
1448366 61728.095479
1448367 61728.095896
1450503 61731.089768
1450504 61731.090184
1450505 61731.090601
1450506 61731.091018
1450507 61731.091434
1450508 61731.091851
1450509 61731.092268
1450510 61731.092684
1450511 61731.093101
1450512 61731.093518
1450513 61731.093934
1450514 61731.094351
1450515 61731.094768
1450516 61731.095184
1450517 61731.095601
1450518 61731.096018
1450519 61731.096434
1450520 61731.096851
1450521 61731.097268
1450522 61731.097684
1458809 61744.051448
1458810 61744.051864
1458811 61744.052281
1458812 61744.052698
1458813 61744.053114
1458814 61744.053531
1458815 61744.053948
1458816 61744.054364
1458817 61744.054781
1458818 61744.055198
1458819 61744.055614
1458820 61744.056031
1458821 61744.056448
1458822 61744.056864
1458823 61744.057281
1458824 61744.057698
1458825 61744.058114
1458826 61744.058531
1458827 61744.058948
1458828 61744.059364
1460870 61747.052955
1460871 61747.053372
1460872 61747.053788
1460873 61747.054205
1460874 61747.054622
