obsHistID expMJD
1632335 62014.321835
1632336 62014.322252
1632337 62014.322669
1632338 62014.323085
1632339 62014.323502
1632340 62014.323919
1632341 62014.324335
1632342 62014.324752
1632343 62014.325169
1632344 62014.325585
1632345 62014.326002
1632346 62014.326419
1632347 62014.326835
1632348 62014.327252
1632349 62014.327669
1632350 62014.328085
1632351 62014.328502
1632352 62014.328919
1632353 62014.329335
1632354 62014.329752
1632355 62014.330169
1632356 62014.330585
1632357 62014.331002
1632358 62014.331419
1632359 62014.331835
1632360 62014.332252
1637006 62026.313759
1637007 62026.314176
1637008 62026.314593
1637009 62026.315009
1637010 62026.315426
1637011 62026.315843
1637012 62026.316259
1637013 62026.316676
1637014 62026.317093
1637015 62026.317509
1637016 62026.317926
1637017 62026.318343
1637018 62026.318759
1637019 62026.319176
1637020 62026.319593
1637021 62026.320009
1637022 62026.320426
1637023 62026.320843
1637024 62026.321259
1637025 62026.321676
1637026 62026.322093
1637027 62026.322509
1637028 62026.322926
1637029 62026.323343
1637030 62026.323759
1637031 62026.324176
1639346 62029.232271
1639347 62029.232688
1639348 62029.233105
1639349 62029.233521
1639350 62029.233938
1639351 62029.234355
1639352 62029.234771
1639353 62029.235188
1639354 62029.235605
1639355 62029.236021
1639356 62029.236438
1639357 62029.236855
1639358 62029.237271
1639359 62029.237688
1639360 62029.238105
1639361 62029.238521
1639362 62029.238938
1639363 62029.239355
1639364 62029.239771
1639365 62029.240188
1639366 62029.240605
1639367 62029.241021
1639368 62029.241438
1639369 62029.241855
1639370 62029.242271
1639371 62029.242688
1650433 62042.218016
1650434 62042.218433
1650435 62042.21885
1650436 62042.219266
1650437 62042.219683
1650438 62042.2201
1650439 62042.220516
1650440 62042.220933
1650441 62042.22135
1650442 62042.221766
1650443 62042.222183
1650444 62042.2226
1650445 62042.223016
1650446 62042.223433
1650447 62042.22385
1650448 62042.224266
1650449 62042.224683
1650450 62042.2251
1650451 62042.225516
1650452 62042.225933
1650453 62042.22635
1650454 62042.226766
1650455 62042.227183
1650456 62042.2276
1650457 62042.228016
1650458 62042.228433
1652704 62045.331789
1652705 62045.332206
1652706 62045.332623
1652707 62045.333039
1652708 62045.333456
1652709 62045.333873
1652710 62045.334289
1652711 62045.334706
1652712 62045.335123
1652713 62045.335539
1652714 62045.335956
1652715 62045.336373
1652716 62045.336789
1652717 62045.337206
1652718 62045.337623
1652719 62045.338039
1652720 62045.338456
1652721 62045.338873
1652722 62045.339289
1652723 62045.339706
1652724 62045.340123
1652725 62045.340539
1652726 62045.340956
1652727 62045.341373
1652728 62045.341789
1652729 62045.342206
1659281 62053.175075
1659282 62053.175492
1659283 62053.175908
1659284 62053.176325
1659285 62053.176742
1659286 62053.177158
1659287 62053.177575
1659288 62053.177992
1659289 62053.178408
1659290 62053.178825
1659291 62053.179242
1659292 62053.179658
1659293 62053.180075
1659294 62053.180492
1659295 62053.180908
1659296 62053.181325
1659297 62053.181742
1659298 62053.182158
1659299 62053.182575
1659300 62053.182992
1659301 62053.183408
1659302 62053.183825
1659303 62053.184242
1659304 62053.184658
1659305 62053.185075
1659306 62053.185492
1661641 62056.187914
1661642 62056.188331
1661643 62056.188748
1661644 62056.189164
1661645 62056.189581
1661646 62056.189998
1661647 62056.190414
1661648 62056.190831
1661649 62056.191248
1661650 62056.191664
1661651 62056.192081
1661652 62056.192498
1661653 62056.192914
1661654 62056.193331
1661655 62056.193748
1661656 62056.194164
1661657 62056.194581
1661658 62056.194998
1661659 62056.195414
1661660 62056.195831
1661661 62056.196248
1661662 62056.196664
1661663 62056.197081
1661664 62056.197498
1661665 62056.197914
1661666 62056.198331
1668495 62067.138709
1668496 62067.139126
1668497 62067.139542
1668498 62067.139959
1668499 62067.140376
1668500 62067.140792
1668501 62067.141209
1668502 62067.141626
1668503 62067.142042
1668504 62067.142459
1668505 62067.142876
1668506 62067.143292
1668507 62067.143709
1668508 62067.144126
1668509 62067.144542
1668510 62067.144959
1668511 62067.145376
1668512 62067.145792
1668513 62067.146209
1668514 62067.146626
1668515 62067.147042
1668516 62067.147459
1668517 62067.147876
1668518 62067.148292
1668519 62067.148709
1668520 62067.149126
1670618 62070.140236
1670619 62070.140653
1670620 62070.14107
1670621 62070.141486
1670622 62070.141903
1670623 62070.14232
1670624 62070.142736
1670625 62070.143153
1670626 62070.14357
1670627 62070.143986
1670628 62070.144403
1670629 62070.14482
1670630 62070.145236
1670631 62070.145653
1670632 62070.14607
1670633 62070.146486
1670634 62070.146903
1670635 62070.14732
1670636 62070.147736
1670637 62070.148153
1670638 62070.14857
1670639 62070.148986
1670640 62070.149403
1670641 62070.14982
1670642 62070.150236
1670643 62070.150653
1677558 62082.259212
1677559 62082.259629
1677560 62082.260046
1677561 62082.260462
1677562 62082.260879
1677563 62082.261296
1677564 62082.261712
1677565 62082.262129
1677566 62082.262546
1677567 62082.262962
1677568 62082.263379
1677569 62082.263796
1677570 62082.264212
1677571 62082.264629
1677572 62082.265046
1677573 62082.265462
1677574 62082.265879
1677575 62082.266296
1677576 62082.266712
1677577 62082.267129
1677578 62082.267546
1677579 62082.267962
1677580 62082.268379
1677581 62082.268796
1677582 62082.269212
1677583 62082.269629
1679467 62086.10289
1679468 62086.103306
1679469 62086.103723
1679470 62086.10414
1679471 62086.104556
1679472 62086.104973
1679473 62086.10539
1679474 62086.105806
1679475 62086.106223
1679476 62086.10664
1679477 62086.107056
1679478 62086.107473
1679479 62086.10789
1679480 62086.108306
1679481 62086.108723
1679482 62086.10914
1679483 62086.109556
1679484 62086.109973
1679485 62086.11039
1679486 62086.110806
1679487 62086.111223
1679488 62086.11164
1679489 62086.112056
1679490 62086.112473
1679491 62086.11289
1679492 62086.113306
1687618 62098.08029
1687619 62098.080707
1687620 62098.081124
1687621 62098.08154
1687622 62098.081957
1687623 62098.082374
1687624 62098.08279
1687625 62098.083207
1687626 62098.083624
1687627 62098.08404
1687628 62098.084457
1687629 62098.084874
1687630 62098.08529
1687631 62098.085707
1687632 62098.086124
1687633 62098.08654
1687634 62098.086957
1687635 62098.087374
1687636 62098.08779
1687637 62098.088207
1687638 62098.088624
1687639 62098.08904
1687640 62098.089457
1687641 62098.089874
1687642 62098.09029
1687643 62098.090707
1689619 62101.071139
1689620 62101.071556
1689621 62101.071972
1689622 62101.072389
1689623 62101.072806
1689624 62101.073222
1689625 62101.073639
1689626 62101.074056
1689627 62101.074472
1689628 62101.074889
1689629 62101.075306
1689630 62101.075722
1689631 62101.076139
1689632 62101.076556
1689633 62101.076972
1689634 62101.077389
1689635 62101.077806
1689636 62101.078222
1689637 62101.078639
1689638 62101.079056
1689639 62101.079472
1689640 62101.079889
1689641 62101.080306
1689642 62101.080722
1689643 62101.081139
1689644 62101.081556
1695847 62111.125857
1695848 62111.126274
1695849 62111.12669
1695850 62111.127107
1695851 62111.127524
1695852 62111.141829
1695853 62111.142841
1695854 62111.143282
1695855 62111.143713
1695856 62111.144143
1695857 62111.144573
1695858 62111.145003
1695859 62111.145433
1695860 62111.145863
1695861 62111.146292
1695862 62111.146722
1695863 62111.147152
1695864 62111.147582
1695865 62111.148011
