obsHistID expMJD
994150 61044.079638
994151 61044.080054
994152 61044.080471
994153 61044.080888
994154 61044.081304
994155 61044.081721
994156 61044.082138
994157 61044.082554
994158 61044.082971
994159 61044.083388
994160 61044.083804
994161 61044.084221
994162 61044.084638
994163 61044.085054
994164 61044.085471
994165 61044.085888
994166 61044.086304
994167 61044.086721
994168 61044.087138
994169 61044.087554
995565 61047.078635
995566 61047.079052
995567 61047.079468
995568 61047.079885
995569 61047.080302
995570 61047.080718
995571 61047.081135
995572 61047.081552
995573 61047.081968
995574 61047.082385
995575 61047.082802
995576 61047.083218
995577 61047.083635
995578 61047.084052
995579 61047.084468
995580 61047.084885
995581 61047.085302
995582 61047.085718
995583 61047.086135
995584 61047.086552
996952 61050.078976
996953 61050.079393
996954 61050.079809
996955 61050.080226
996956 61050.080643
996957 61050.081059
996958 61050.081476
996959 61050.081893
996960 61050.082309
996961 61050.082726
996962 61050.083143
996963 61050.083559
996964 61050.083976
996965 61050.084393
996966 61050.084809
996967 61050.085226
996968 61050.085643
996969 61050.086059
996970 61050.086476
996971 61050.086893
997672 61054.078847
997673 61054.079264
997674 61054.07968
997675 61054.080097
997676 61054.080514
997677 61054.08093
997678 61054.081347
997679 61054.081764
997680 61054.08218
997681 61054.082597
997682 61054.083014
997683 61054.08343
997684 61054.083847
997685 61054.084264
997686 61054.08468
997687 61054.085097
997688 61054.085514
997689 61054.08593
997690 61054.086347
997691 61054.086764
1170860 61302.209045
1170861 61302.209462
1170862 61302.209879
1170863 61302.210295
1170864 61302.210712
1170865 61302.211129
1170866 61302.211545
1170867 61302.211962
1170868 61302.212379
1170869 61302.212795
1170870 61302.213212
1170871 61302.213629
1170872 61302.214045
1170873 61302.214462
1170874 61302.214879
1170875 61302.215295
1170876 61302.215712
1170877 61302.216129
1170878 61302.216545
1170879 61302.216962
1173534 61305.236673
1173535 61305.23709
1173536 61305.237507
1173537 61305.237923
1173538 61305.23834
1173539 61305.238757
1173540 61305.239173
1173541 61305.23959
1173542 61305.240007
1173543 61305.240423
1173544 61305.24084
1173545 61305.241257
1173546 61305.241673
1173547 61305.24209
1173548 61305.242507
1173549 61305.242923
1173550 61305.24334
1173551 61305.243757
1173552 61305.244173
1173553 61305.24459
1176542 61308.384174
1176543 61308.384591
1176544 61308.385008
1176545 61308.385424
1176546 61308.385841
1176547 61308.386258
1176548 61308.386674
1176549 61308.387091
1176550 61308.387508
1176551 61308.387924
1176552 61308.388341
1176553 61308.388758
1176554 61308.389174
1176555 61308.389591
1176556 61308.390008
1176557 61308.390424
1176558 61308.390841
1176559 61308.391258
1176560 61308.391674
1176561 61308.392091
1181586 61314.275644
1181587 61314.276061
1181588 61314.276477
1181589 61314.276894
1181590 61314.277311
1181591 61314.277727
1181592 61314.278144
1181593 61314.278561
1181594 61314.278977
1181595 61314.279394
1181596 61314.279811
1181597 61314.280227
1181598 61314.280644
1181599 61314.281061
1181600 61314.281477
1181601 61314.281894
1181602 61314.282311
1181603 61314.282727
1181604 61314.283144
1181605 61314.283561
1183959 61317.172128
1183960 61317.172545
1183961 61317.172962
1183962 61317.173378
1183963 61317.173795
1183964 61317.174212
1183965 61317.174628
1183966 61317.175045
1183967 61317.175462
1183968 61317.175878
1183969 61317.176295
1183970 61317.176712
1183971 61317.177128
1183972 61317.177545
1183973 61317.177962
1183974 61317.178378
1183975 61317.178795
1183976 61317.179212
1183977 61317.179628
1183978 61317.180045
1194541 61330.177361
1194542 61330.177778
1194543 61330.178195
1194544 61330.178611
1194545 61330.179028
1194546 61330.179445
1194547 61330.179861
1194548 61330.180278
1194549 61330.180695
1194550 61330.181111
1194551 61330.181528
1194552 61330.181945
1194553 61330.182361
1194554 61330.182778
1194555 61330.183195
1194556 61330.183611
1194557 61330.184028
1194558 61330.184445
1194559 61330.184861
1194560 61330.185278
1196912 61333.17419
1196913 61333.174606
1196914 61333.175023
1196915 61333.17544
1196916 61333.175856
1196917 61333.176273
1196918 61333.17669
1196919 61333.177106
1196920 61333.177523
1196921 61333.17794
1196922 61333.178356
1196923 61333.178773
1196924 61333.17919
1196925 61333.179606
1196926 61333.180023
1196927 61333.18044
1196928 61333.180856
1196929 61333.181273
1196930 61333.18169
1196931 61333.182106
1198571 61336.208756
1198572 61336.209172
1198573 61336.209589
1198574 61336.210006
1198575 61336.210422
1198576 61336.210839
1198577 61336.211256
1198578 61336.211672
1198579 61336.212089
1198580 61336.212506
1198581 61336.212922
1198582 61336.213339
1198583 61336.213756
1198584 61336.214172
1198585 61336.214589
1198586 61336.215006
1198587 61336.215422
1198588 61336.215839
1198589 61336.216256
1198590 61336.216672
1203220 61344.133525
1203221 61344.133942
1203222 61344.134359
1203223 61344.134775
1203224 61344.135192
1203225 61344.135609
1203226 61344.136025
1203227 61344.136442
1203228 61344.136859
1203229 61344.137275
1203230 61344.137692
1203231 61344.138109
1203232 61344.138525
1203233 61344.138942
1203234 61344.139359
1203235 61344.139775
1203236 61344.140192
1203237 61344.140609
1203238 61344.141025
1203239 61344.141442
1204034 61348.13557
1204035 61348.135986
1204036 61348.136403
1204037 61348.13682
1204038 61348.137236
1204039 61348.137653
1204040 61348.13807
1204041 61348.138486
1204042 61348.138903
1204043 61348.13932
1204044 61348.139736
1204045 61348.140153
1204046 61348.14057
1204047 61348.140986
1204048 61348.141403
1204049 61348.14182
1204050 61348.142236
1204051 61348.142653
1204052 61348.14307
1204053 61348.143486
1208209 61359.095839
1208210 61359.096255
1208211 61359.096672
1208212 61359.097089
1208213 61359.097505
1208214 61359.097922
1208215 61359.098339
1208216 61359.098755
1208217 61359.099172
1208218 61359.099589
1208219 61359.100005
1208220 61359.100422
1208221 61359.100839
1208222 61359.101255
1208223 61359.101672
1208224 61359.102089
1208225 61359.102505
1208226 61359.102922
1208227 61359.103339
1208228 61359.103755
1210341 61362.097832
1210342 61362.098249
1210343 61362.098666
1210344 61362.099082
1210345 61362.099499
1210346 61362.099916
1210347 61362.100332
1210348 61362.100749
1210349 61362.101166
1210350 61362.101582
1210351 61362.101999
1210352 61362.102416
1210353 61362.102832
1210354 61362.103249
1210355 61362.103666
1210356 61362.104082
1210357 61362.104499
1210358 61362.104916
1210359 61362.105332
1210360 61362.105749
1212518 61365.125393
1212519 61365.12581
1212520 61365.126226
1212521 61365.126643
1212522 61365.12706
1212523 61365.127476
1212524 61365.127893
1212525 61365.12831
1212526 61365.128726
1212527 61365.129143
1212528 61365.12956
1212529 61365.129976
1212530 61365.130393
1212531 61365.13081
1212532 61365.131226
1212533 61365.131643
1212534 61365.13206
1212535 61365.132476
1212536 61365.132893
1212537 61365.13331
1215970 61370.060546
1215971 61370.060963
1215972 61370.06138
1215973 61370.061796
1215974 61370.062213
1215975 61370.06263
1215976 61370.063046
1215977 61370.063463
1215978 61370.06388
1215979 61370.064296
1215980 61370.064713
1215981 61370.06513
1215982 61370.065546
1215983 61370.065963
1215984 61370.06638
1215985 61370.066796
1215986 61370.067213
1215987 61370.06763
1215988 61370.068046
1215989 61370.068463
1218145 61373.062708
1218146 61373.063125
1218147 61373.063541
1218148 61373.063958
1218149 61373.064375
1218150 61373.064791
1218151 61373.065208
1218152 61373.065625
1218153 61373.066041
1218154 61373.066458
1218155 61373.066875
1218156 61373.067291
1218157 61373.067708
1218158 61373.068125
1218159 61373.068541
1218160 61373.068958
1218161 61373.069375
1218162 61373.069791
1218163 61373.070208
1218164 61373.070625
1220288 61376.064817
1220289 61376.065234
1220290 61376.065651
1220291 61376.066067
1220292 61376.066484
1220293 61376.066901
1220294 61376.067317
1220295 61376.067734
1220296 61376.068151
1220297 61376.068567
1220298 61376.068984
1220299 61376.069401
1220300 61376.069817
1220301 61376.070234
1220302 61376.070651
1220303 61376.071067
1220304 61376.071484
1220305 61376.071901
1220306 61376.072317
1220307 61376.072734
1228649 61389.072094
1228650 61389.072511
1228651 61389.072928
1228652 61389.073344
1228653 61389.073761
1228654 61389.074178
1228655 61389.074594
1228656 61389.075011
1228657 61389.075428
1228658 61389.075844
1228659 61389.076261
1228660 61389.076678
1228661 61389.077094
1228662 61389.077511
1228663 61389.077928
1228664 61389.078344
1228665 61389.078761
1228666 61389.079178
1228667 61389.079594
1228668 61389.080011
1230369 61392.073853
1230370 61392.07427
1230371 61392.074686
1230372 61392.075103
1230373 61392.07552
1230374 61392.075936
1230375 61392.076353
1230376 61392.07677
1230377 61392.077186
1230378 61392.077603
1230379 61392.07802
1230380 61392.078436
1230381 61392.078853
1230382 61392.07927
1230383 61392.079686
1230384 61392.080103
1230385 61392.08052
1230386 61392.080936
1230387 61392.081353
1230388 61392.08177
1235306 61406.150725
1235307 61406.151142
1235308 61406.151559
1235309 61406.151975
1235310 61406.152392
1235311 61406.152809
1235312 61406.153225
1235313 61406.153642
1235314 61406.154059
1235315 61406.154475
1235316 61406.154892
1235317 61406.155309
1235318 61406.155725
1235319 61406.156142
1235320 61406.156559
1235321 61406.156975
1235322 61406.157392
1235323 61406.157809
1235324 61406.158225
1235325 61406.158642
