obsHistID expMJD
1632315 62014.312136
1632316 62014.312553
1632317 62014.31297
1632318 62014.313386
1632319 62014.313803
1632320 62014.31422
1632321 62014.314636
1632322 62014.315053
1632323 62014.31547
1632324 62014.315886
1632325 62014.316303
1632326 62014.31672
1632327 62014.317136
1632328 62014.317553
1632329 62014.31797
1632330 62014.318386
1632331 62014.318803
1632332 62014.31922
1632333 62014.319636
1632334 62014.320053
1636986 62026.30406
1636987 62026.304477
1636988 62026.304894
1636989 62026.30531
1636990 62026.305727
1636991 62026.306144
1636992 62026.30656
1636993 62026.306977
1636994 62026.307394
1636995 62026.30781
1636996 62026.308227
1636997 62026.308644
1636998 62026.30906
1636999 62026.309477
1637000 62026.309894
1637001 62026.31031
1637002 62026.310727
1637003 62026.311144
1637004 62026.31156
1637005 62026.311977
1639326 62029.222572
1639327 62029.222989
1639328 62029.223406
1639329 62029.223822
1639330 62029.224239
1639331 62029.224656
1639332 62029.225072
1639333 62029.225489
1639334 62029.225906
1639335 62029.226322
1639336 62029.226739
1639337 62029.227156
1639338 62029.227572
1639339 62029.227989
1639340 62029.228406
1639341 62029.228822
1639342 62029.229239
1639343 62029.229656
1639344 62029.230072
1639345 62029.230489
1650413 62042.208317
1650414 62042.208734
1650415 62042.20915
1650416 62042.209567
1650417 62042.209984
1650418 62042.2104
1650419 62042.210817
1650420 62042.211234
1650421 62042.21165
1650422 62042.212067
1650423 62042.212484
1650424 62042.2129
1650425 62042.213317
1650426 62042.213734
1650427 62042.21415
1650428 62042.214567
1650429 62042.214984
1650430 62042.2154
1650431 62042.215817
1650432 62042.216234
1652684 62045.307372
1652685 62045.307788
1652686 62045.322094
1652687 62045.323105
1652688 62045.323546
1652689 62045.323977
1652690 62045.324407
1652691 62045.324837
1652692 62045.325267
1652693 62045.325697
1652694 62045.326127
1652695 62045.326557
1652696 62045.326986
1652697 62045.327416
1652698 62045.327846
1652699 62045.328276
1652700 62045.328705
1652701 62045.329135
1652702 62045.329564
1652703 62045.329994
1659261 62053.165376
1659262 62053.165793
1659263 62053.166209
1659264 62053.166626
1659265 62053.167043
1659266 62053.167459
1659267 62053.167876
1659268 62053.168293
1659269 62053.168709
1659270 62053.169126
1659271 62053.169543
1659272 62053.169959
1659273 62053.170376
1659274 62053.170793
1659275 62053.171209
1659276 62053.171626
