obsHistID expMJD
1632285 62014.296905
1632286 62014.297321
1632287 62014.297738
1632288 62014.298155
1632289 62014.298571
1632290 62014.298988
1632291 62014.299405
1632292 62014.299821
1632293 62014.300238
1632294 62014.300655
1632295 62014.301071
1632296 62014.301488
1632297 62014.301905
1632298 62014.302321
1632299 62014.302738
1632300 62014.303155
1632301 62014.303571
1632302 62014.303988
1632303 62014.304405
1632304 62014.304821
1636957 62026.289246
1636958 62026.289662
1636959 62026.290079
1636960 62026.290496
1636961 62026.290912
1636962 62026.291329
1636963 62026.291746
1636964 62026.292162
1636965 62026.292579
1636966 62026.292996
1636967 62026.293412
1636968 62026.293829
1636969 62026.294246
1636970 62026.294662
1636971 62026.295079
1636972 62026.295496
1636973 62026.295912
1636974 62026.296329
1636975 62026.296746
1639297 62029.207665
1639298 62029.208093
1639299 62029.208521
1639300 62029.20895
1639301 62029.209378
1639302 62029.209806
1639303 62029.210234
1639304 62029.210663
1639305 62029.211091
1639306 62029.211507
1639307 62029.211924
1639308 62029.212341
1639309 62029.212757
1639310 62029.213174
1639311 62029.213591
1639312 62029.214007
1639313 62029.214424
1639314 62029.214841
1639315 62029.215257
1650383 62042.193086
1650384 62042.193502
1650385 62042.193919
1650386 62042.194336
1650387 62042.194752
1650388 62042.195169
1650389 62042.195586
1650390 62042.196002
1650391 62042.196419
1650392 62042.196836
1650393 62042.197252
1650394 62042.197669
1650395 62042.198086
1650396 62042.198502
1650397 62042.198919
1650398 62042.199336
1650399 62042.199752
1650400 62042.200169
1650401 62042.200586
1650402 62042.201002
1652654 62045.29214
1652655 62045.292557
1652656 62045.292973
1652657 62045.29339
1652658 62045.293807
1652659 62045.294223
1652660 62045.29464
1652661 62045.295057
1652662 62045.295473
1652663 62045.29589
1652664 62045.296307
1652665 62045.296723
1652666 62045.29714
1652667 62045.297557
1652668 62045.297973
1652669 62045.29839
1652670 62045.298807
1652671 62045.299223
1652672 62045.29964
1652673 62045.300057
1659232 62053.150561
1659233 62053.150978
1659234 62053.151395
1659235 62053.151811
1659236 62053.152228
1659237 62053.152645
1659238 62053.153061
1659239 62053.153478
1659240 62053.153895
1659241 62053.154311
1659242 62053.154728
1659243 62053.155145
1659244 62053.155561
1659245 62053.155978
1659246 62053.156395
1659247 62053.156811
1659248 62053.157228
1659249 62053.157645
1659250 62053.158061
1661591 62056.162984
1661592 62056.1634
1661593 62056.163817
1661594 62056.164234
1661595 62056.16465
1661596 62056.165067
1661597 62056.165484
1661598 62056.1659
1661599 62056.166317
1661600 62056.166734
1661601 62056.16715
1661602 62056.167567
1661603 62056.167984
1661604 62056.1684
1661605 62056.168817
1661606 62056.169234
1661607 62056.16965
1661608 62056.170067
1661609 62056.170484
1661610 62056.1709
1668446 62067.114195
1668447 62067.114612
1668448 62067.115028
1668449 62067.115445
1668450 62067.115862
1668451 62067.116278
1668452 62067.116695
1668453 62067.117112
1668454 62067.117528
1668455 62067.117945
1668456 62067.118362
1668457 62067.118778
1668458 62067.119195
1668459 62067.119612
1668460 62067.120028
1668461 62067.120445
1668462 62067.120862
1668463 62067.121278
1668464 62067.121695
1670569 62070.115722
1670570 62070.116139
1670571 62070.116556
1670572 62070.116972
1670573 62070.117389
1670574 62070.117806
1670575 62070.118222
1670576 62070.118639
1670577 62070.119056
1670578 62070.119472
1670579 62070.119889
1670580 62070.120306
1670581 62070.120722
1670582 62070.121139
1670583 62070.121556
1670584 62070.121972
1670585 62070.122389
1670586 62070.122806
1670587 62070.123222
1677508 62082.234282
1677509 62082.234699
1677510 62082.235115
1677511 62082.235532
1677512 62082.235949
1677513 62082.236365
1677514 62082.236782
1677515 62082.237199
1677516 62082.237615
1677517 62082.238032
1677518 62082.238449
1677519 62082.238865
1677520 62082.239282
1677521 62082.239699
1677522 62082.240115
1677523 62082.240532
1677524 62082.240949
1677525 62082.241365
1677526 62082.241782
1677527 62082.242199
1679417 62086.077959
1679418 62086.078376
1679419 62086.078792
1679420 62086.079209
1679421 62086.079626
1679422 62086.080042
1679423 62086.080459
1679424 62086.080876
1679425 62086.081292
1679426 62086.081709
1679427 62086.082126
1679428 62086.082542
1679429 62086.082959
1679430 62086.083376
1679431 62086.083792
1679432 62086.084209
1679433 62086.084626
1679434 62086.085042
1679435 62086.085459
1679436 62086.085876
1687569 62098.055777
1687570 62098.056193
1687571 62098.05661
1687572 62098.057027
1687573 62098.057443
1687574 62098.05786
1687575 62098.058277
1687576 62098.058693
1687577 62098.05911
1687578 62098.059527
1687579 62098.059943
1687580 62098.06036
1687581 62098.060777
1687582 62098.061193
1687583 62098.06161
1687584 62098.062027
1687585 62098.062443
1687586 62098.06286
1687587 62098.063277
1689569 62101.046208
1689570 62101.046625
1689571 62101.047042
1689572 62101.047458
1689573 62101.047875
1689574 62101.048292
1689575 62101.048708
1689576 62101.049125
1689577 62101.049542
1689578 62101.049958
1689579 62101.050375
1689580 62101.050792
1689581 62101.051208
1689582 62101.051625
1689583 62101.052042
1689584 62101.052458
1689585 62101.052875
1689586 62101.053292
1689587 62101.053708
1689588 62101.054125
1695797 62111.100927
1695798 62111.101343
1695799 62111.10176
1695800 62111.102177
1695801 62111.102593
1695802 62111.10301
1695803 62111.103427
1695804 62111.103843
1695805 62111.10426
1695806 62111.104677
1695807 62111.105093
1695808 62111.10551
1695809 62111.105927
1695810 62111.106343
1695811 62111.10676
1695812 62111.107177
1695813 62111.107593
1695814 62111.10801
1695815 62111.108427
1695816 62111.108843
1697884 62114.101817
1697885 62114.102233
1697886 62114.10265
1697887 62114.103067
1697888 62114.103483
1697889 62114.1039
1697890 62114.104317
1697891 62114.104733
1697892 62114.10515
1697893 62114.105567
1697894 62114.105983
1697895 62114.1064
1697896 62114.106817
1697897 62114.107233
1697898 62114.10765
1697899 62114.108067
1697900 62114.108483
1697901 62114.1089
1697902 62114.109317
1697903 62114.109733
1699894 62117.103337
1699895 62117.103753
1699896 62117.10417
1699897 62117.104587
1699898 62117.105003
1699899 62117.10542
1699900 62117.105837
1699901 62117.106253
1699902 62117.10667
1699903 62117.107087
1699904 62117.107503
1699905 62117.10792
1699906 62117.108337
1699907 62117.108753
1699908 62117.10917
1699909 62117.109587
1699910 62117.110003
1699911 62117.11042
1699912 62117.110837
1699913 62117.125142
1707124 62128.06105
1707125 62128.061467
1707126 62128.061883
1707127 62128.0623
1707128 62128.062717
1707129 62128.063133
1707130 62128.06355
1707131 62128.063967
1707132 62128.064383
1707133 62128.0648
1707134 62128.065217
1707135 62128.065633
1707136 62128.06605
1707137 62128.066467
1707138 62128.066883
1707139 62128.0673
1707140 62128.067717
1707141 62128.068133
1707142 62128.06855
1707143 62128.068967
1709158 62131.061222
1709159 62131.061639
1709160 62131.062055
1709161 62131.062472
1709162 62131.062889
1709163 62131.063305
1709164 62131.063722
1709165 62131.064139
1709166 62131.064555
1709167 62131.064972
1709168 62131.065389
1709169 62131.065805
1709170 62131.066222
1709171 62131.066639
1709172 62131.067055
1709173 62131.067472
1709174 62131.067889
1709175 62131.068305
1709176 62131.068722
1709177 62131.069139
