obsHistID expMJD
1412351 61656.278229
1412352 61656.278646
1412353 61656.279063
1412354 61656.279479
1412355 61656.279896
1412356 61656.280313
1412357 61656.280729
1412358 61656.281146
1412359 61656.281563
1412360 61656.281979
1412361 61656.282396
1412362 61656.282813
1412363 61656.283229
1412364 61656.283646
1412365 61656.284063
1412366 61656.284479
1412367 61656.284896
1412368 61656.285313
1412369 61656.285729
1412370 61656.286146
1422718 61685.258742
1422719 61685.259158
1422720 61685.259575
1422721 61685.259992
1422722 61685.260408
1422723 61685.260825
1422724 61685.261242
1422725 61685.261658
1422726 61685.262075
1422727 61685.262492
1422728 61685.262908
1422729 61685.263325
1422730 61685.263742
1422731 61685.264158
1422732 61685.264575
1422733 61685.264992
1422734 61685.265408
1422735 61685.265825
1422736 61685.266242
1422737 61685.266658
1425134 61688.20795
1425135 61688.208367
1425136 61688.208784
1425137 61688.2092
1425138 61688.209617
1425139 61688.210034
1425140 61688.21045
1425141 61688.210867
1425142 61688.211284
1425143 61688.2117
1425144 61688.212117
1425145 61688.212534
1425146 61688.21295
1425147 61688.213367
1425148 61688.213784
1425149 61688.2142
1425150 61688.214617
1425151 61688.215034
1425152 61688.21545
1425153 61688.215867
1427679 61691.339011
1427680 61691.339428
1427681 61691.339845
1427682 61691.340261
1427683 61691.340678
1427684 61691.341095
1427685 61691.341511
1427686 61691.341928
1427687 61691.342345
1427688 61691.342761
1427689 61691.343178
1427690 61691.343595
1427691 61691.344011
1427692 61691.344428
1427693 61691.344845
1427694 61691.345261
1427695 61691.345678
1427696 61691.346095
1427697 61691.346511
1427698 61691.346928
1433200 61698.193795
1433201 61698.194211
1433202 61698.194628
1433203 61698.195045
1433204 61698.195461
1433205 61698.195878
1433206 61698.196295
1433207 61698.196711
1433208 61698.197128
1433209 61698.197545
1433210 61698.197961
1433211 61698.198378
1433212 61698.198795
1433213 61698.199211
1433214 61698.199628
1433215 61698.200045
1433216 61698.200461
1433217 61698.200878
1433218 61698.201295
1433219 61698.201711
1434749 61701.17198
1434750 61701.172397
1434751 61701.172814
1434752 61701.17323
1434753 61701.173647
1434754 61701.174064
1434755 61701.17448
1434756 61701.174897
