obsHistID expMJD
2221713 62868.107349
2221714 62868.107766
2221715 62868.108183
2221716 62868.108599
2221717 62868.109016
2221718 62868.109433
2221719 62868.109849
2221720 62868.110266
2221721 62868.110683
2221722 62868.111099
2221723 62868.111516
2221724 62868.111933
2221725 62868.112349
2221726 62868.112766
2221727 62868.113183
2221728 62868.113599
2221729 62868.114016
2221730 62868.114433
2221731 62868.114849
2221732 62868.115266
2377012 63117.280356
2377013 63117.280772
2377014 63117.281189
2377015 63117.281606
2377016 63117.282022
2377017 63117.282439
2377018 63117.282856
2377019 63117.283272
2377020 63117.283689
2377021 63117.284106
2377022 63117.284522
2377023 63117.284939
2377024 63117.285356
2377025 63117.285772
2377026 63117.286189
2377027 63117.286606
2377028 63117.287022
2377029 63117.287439
2377030 63117.287856
2377031 63117.288272
2379380 63121.280943
2379381 63121.281359
2379382 63121.281776
2379383 63121.282193
2379384 63121.282609
2379385 63121.283026
2379386 63121.283443
2379387 63121.283859
2379388 63121.284276
2379389 63121.284693
2379390 63121.285109
2379391 63121.285526
2379392 63121.285943
2379393 63121.286359
2379394 63121.286776
2379395 63121.287193
2379396 63121.287609
2379397 63121.288026
2379398 63121.288443
2379399 63121.288859
2385637 63131.226104
2385638 63131.226521
2385639 63131.226938
2385640 63131.227354
2385641 63131.227771
2385642 63131.228188
2385643 63131.228604
2385644 63131.229021
2385645 63131.229438
2385646 63131.229854
2385647 63131.230271
2385648 63131.230688
2385649 63131.231104
2385650 63131.231521
2385651 63131.231938
2385652 63131.232354
2385653 63131.232771
2385654 63131.233188
2385655 63131.233604
2385656 63131.234021
2388757 63136.214322
2388758 63136.214739
2388759 63136.215155
2388760 63136.215572
2388761 63136.215989
2388762 63136.216405
2388763 63136.216822
2388764 63136.217239
2388765 63136.217655
2388766 63136.218072
2388767 63136.218489
2388768 63136.218905
2388769 63136.219322
2388770 63136.219739
2388771 63136.220155
2388772 63136.220572
2388773 63136.220989
2388774 63136.221405
2388775 63136.221822
2388776 63136.222239
2394315 63145.269509
2394316 63145.269926
2394317 63145.270342
2394318 63145.270759
2394319 63145.271176
2394320 63145.271592
2394321 63145.272009
2394322 63145.272426
2394323 63145.272842
2394324 63145.273259
2394325 63145.273676
2394326 63145.274092
2394327 63145.274509
2394328 63145.274926
2394329 63145.275342
2394330 63145.275759
2394331 63145.276176
2394332 63145.276592
2394333 63145.277009
2394334 63145.277426
2396741 63148.214641
2396742 63148.215058
2396743 63148.215474
2396744 63148.215891
2396745 63148.216308
2396746 63148.216724
