obsHistID expMJD
1640280 62030.247835
1640281 62030.248252
1640282 62030.248669
1640283 62030.249085
1640284 62030.249502
1640285 62030.249919
1640286 62030.250335
1640287 62030.250752
1640288 62030.251169
1640289 62030.251585
1640290 62030.252002
1640291 62030.252419
1640292 62030.252835
1640293 62030.253252
1640294 62030.253669
1640295 62030.254085
1640296 62030.254502
1640297 62030.254919
1640298 62030.255335
1641144 62031.213007
1641145 62031.213424
1641146 62031.21384
1641147 62031.214257
1641148 62031.214674
1641149 62031.21509
1641150 62031.215507
1641151 62031.215924
1641152 62031.21634
1641153 62031.216757
1641154 62031.217174
1641155 62031.21759
1641156 62031.218007
1641157 62031.218424
1641158 62031.21884
1641159 62031.219257
1641160 62031.219674
1641161 62031.22009
1641162 62031.220507
1641163 62031.220924
1642075 62032.210159
1642076 62032.210575
1642077 62032.210992
1642078 62032.211409
1642079 62032.211825
1642080 62032.212242
1642081 62032.212659
1642082 62032.213075
1642083 62032.213492
1642084 62032.213909
1642085 62032.214325
1642086 62032.214742
1642087 62032.215159
1642088 62032.215575
1642089 62032.215992
1642090 62032.216409
1642091 62032.216825
1642092 62032.217242
1642093 62032.217659
1642938 62033.206355
1642939 62033.206772
1642940 62033.207189
1642941 62033.207605
1642942 62033.208022
1642943 62033.208439
1642944 62033.208855
1642945 62033.209272
1642946 62033.209689
1642947 62033.210105
1642948 62033.210522
1642949 62033.210939
1642950 62033.211355
1642951 62033.211772
1642952 62033.212189
1642953 62033.212605
1642954 62033.213022
1642955 62033.213439
1642956 62033.213855
1642957 62033.214272
1643816 62034.208822
1643817 62034.209238
1643818 62034.209655
1643819 62034.210072
1643820 62034.210488
1643821 62034.210905
1643822 62034.211322
1643823 62034.211738
1643824 62034.212155
1643825 62034.212572
1643826 62034.212988
1643827 62034.213405
1643828 62034.213822
1643829 62034.214238
1643830 62034.214655
1643831 62034.215072
1643832 62034.215488
1643833 62034.215905
1643834 62034.216322
1643835 62034.216738
1644665 62035.201079
1644666 62035.201496
1644667 62035.201913
1644668 62035.202329
1644669 62035.202746
1644670 62035.203163
1644671 62035.203579
1644672 62035.203996
1644673 62035.204413
1644674 62035.204829
1644675 62035.205246
1644676 62035.205663
1644677 62035.206079
1644678 62035.206496
1644679 62035.206913
1644680 62035.207329
1644681 62035.207746
1644682 62035.208163
1644683 62035.208579
1644684 62035.208996
1645522 62036.199065
1645523 62036.199482
1645524 62036.199898
1645525 62036.200315
1645526 62036.200732
1645527 62036.201148
1645528 62036.201565
1645529 62036.201982
1645530 62036.202398
1645531 62036.202815
1645532 62036.203232
1645533 62036.203648
1645534 62036.204065
1645535 62036.204482
1645536 62036.204898
1645537 62036.205315
1645538 62036.205732
1645539 62036.206148
1645540 62036.206565
1645541 62036.206982
1664031 62059.151984
1664032 62059.152401
1664033 62059.152817
1664034 62059.153234
1664035 62059.153651
1664036 62059.154067
1664037 62059.154484
1664038 62059.154901
1664039 62059.155317
1664040 62059.155734
1664041 62059.156151
1664042 62059.156567
1664043 62059.156984
1664044 62059.157401
1664045 62059.157817
1664046 62059.158234
1664047 62059.158651
1664048 62059.159067
1664049 62059.159484
