band,fID,obsHistID
y,1361,37618
y,1375,37619
y,1386,37620
y,1401,37621
y,1419,37622
y,1297,37623
y,1277,37624
y,1269,37625
y,1257,37626
y,1245,37627
y,1243,37628
y,931,37635
y,933,37636
y,947,37637
y,963,37638
y,975,37639
y,1070,37640
y,1050,37641
y,1046,37642
y,1082,37643
y,1165,37644
y,1178,37645
y,1188,37646
y,1277,37647
y,1297,37648
y,1269,37649
y,1178,37650
y,1188,37651
y,1165,37652
y,1154,37653
y,1144,37654
y,1050,37655
y,1070,37656
y,1082,37657
y,975,37658
g,1350,39425
g,1361,39426
g,1375,39427
g,1386,39428
g,1386,39466
g,1350,39478
g,1361,39479
g,1375,39480
r,748,40243
r,766,40246
r,849,40247
r,837,40248
r,746,40266
r,748,40267
r,837,40275
r,849,40276
r,766,40277
r,778,40282
r,871,40283
r,778,40316
r,871,40317
r,947,40318
r,963,40319
r,872,40320
r,933,40321
r,931,40322
r,1034,40323
r,1046,40324
r,1154,40325
r,1050,40326
r,1070,40327
r,975,40328
r,1257,40329
r,1245,40330
r,1243,40331
r,931,40349
r,933,40350
r,947,40351
r,963,40352
r,872,40353
r,1034,40354
r,1046,40355
r,1154,40356
r,1050,40357
r,1257,40358
r,1245,40359
r,1243,40360
r,1133,40382
r,1036,40383
r,1144,40385
r,1476,40386
r,1036,40428
z,1245,46273
z,1257,46274
z,1269,46275
z,1277,46276
z,1297,46277
z,1419,46278
z,1401,46279
z,1386,46280
z,1375,46281
z,1361,46282
z,1350,46283
z,1476,46289
z,1488,46291
z,1516,46292
z,1386,46304
z,1401,46305
z,1419,46306
z,1297,46307
z,1277,46308
z,1269,46309
z,1257,46310
z,1245,46311
z,1375,46312
z,1361,46313
z,1350,46314
z,1470,46319
z,1488,46322
z,1401,48938
z,1419,48939
z,1297,48940
z,1188,48941
z,1178,48942
z,1165,48943
z,1154,48944
z,1144,48945
z,1133,48946
z,1036,48956
z,1034,48957
z,1046,48958
z,1050,48959
z,1070,48960
z,1082,48961
z,975,48962
z,963,48963
z,947,48964
z,933,48965
z,931,48966
z,1133,48969
z,1144,48970
z,1516,48971
y,778,51618
y,871,51619
y,849,51620
y,766,51621
y,748,51622
y,746,51625
y,754,51626
y,839,52527
y,837,52528
y,939,52529
y,1036,52540
y,1269,52541
y,1277,52542
y,1401,52543
y,1522,52544
y,766,53397
y,778,53398
y,871,53399
y,872,53400
y,963,53401
y,839,53402
y,1386,53403
y,1375,53404
y,1488,53411
y,1419,53414
y,872,54299
y,1486,54300
y,748,55224
y,837,55225
y,849,55226
y,872,55227
y,1082,55228
y,1188,55229
y,1178,55230
y,1165,55231
y,1401,55232
y,1476,55244
y,1133,57078
y,1245,57079
y,1154,57155
y,1046,57156
y,933,57157
y,947,57158
y,1050,57159
y,1144,57160
y,1034,57161
y,931,57162
y,839,57202
y,1470,60783
i,1036,60888
i,1133,60889
i,1034,60890
i,931,60891
i,839,60892
i,746,60897
i,837,60898
i,1243,60902
i,839,60918
i,939,60919
z,1486,62621
z,1476,62622
z,766,64483
z,849,64484
z,837,64485
z,839,64486
z,746,64487
z,748,64497
z,754,64498
z,766,64516
z,849,64517
z,837,64518
z,839,64519
z,746,64520
z,1350,67991
z,1476,67992
z,1488,68003
z,1375,68004
z,1257,68005
z,1245,68006
z,1243,68007
z,1350,68021
z,1476,68022
y,748,76032
y,837,76033
y,933,76034
y,1046,76035
y,1154,76036
y,1144,76037
y,1257,76038
y,1375,76039
y,1361,76040
y,1245,76041
y,1133,76042
y,1036,76043
y,1034,76044
y,931,76045
y,849,76046
y,947,76047
y,839,80926
y,1243,80928
y,1350,80929
y,1476,80930
y,939,82951
y,1036,82952
y,1133,82953
y,837,83913
y,931,83914
y,1034,83915
y,847,83918
y,1245,83919
y,1350,83920
